States,DAY,MONTH,YEAR,DAY_WEEK,LATITUDE,LONGITUD,Weather,ARR_HOUR,ARR_MIN,DRUNK_DR,EMS_Arrival_Time
Alabama,30,4,2015,5,33.91519167,-85.91348056,Clear,20,0.014166667,1,20.01
Alabama,2,5,2015,7,33.51839722,-86.850275,Clear,22,0.0125,0,22.01
Alabama,3,5,2015,1,30.771375,-88.17473889,Clear,17,0.013055556,0,17.01
Alabama,4,5,2015,2,33.23294722,-87.41972778,Clear,1,0,1,1
Alabama,4,5,2015,2,32.45510833,-85.68898889,Clear,11,0.002777778,0,11
Alabama,4,5,2015,2,32.53463333,-86.45578056,Clear,16,0.004444444,0,16
Alabama,4,5,2015,2,34.85403889,-86.03828333,Clear,19,0.007777778,0,19.01
Alabama,5,5,2015,3,34.82900833,-87.76345556,Clear,15,0.001944444,0,15
Alabama,6,5,2015,4,33.93793333,-87.22391389,Clear,7,0.014444444,0,7.01
Alabama,1,5,2015,6,30.40665,-87.70856944,Clear,21,0.003888889,1,21
Alabama,4,5,2015,2,34.72234167,-87.63496667,Clear,21,0.002777778,0,21
Alabama,2,4,2015,5,32.33015,-86.23213056,Clear,22,0.007777778,1,22.01
Alabama,8,5,2015,6,34.72326111,-87.81718333,Clear,9,0.009722222,0,9.01
Alabama,8,5,2015,6,33.18373889,-87.44763333,Clear,11,0.005833333,0,11.01
Alabama,10,5,2015,1,34.87006111,-87.53710833,Clear,16,0.0125,0,16.01
Alabama,4,5,2015,2,33.61511389,-85.76906944,Clear,7,0.001944444,0,7
Alabama,24,5,2015,1,32.88801944,-86.62379722,Clear,9,0.011111111,0,9.01
Alabama,23,5,2015,7,32.80710833,-85.22606389,Clear,20,0.001944444,0,20
Alabama,11,5,2015,2,32.36118056,-86.18275556,Clear,20,0.014722222,0,20.01
Alabama,14,5,2015,5,33.88559167,-86.25375556,Clear,17,0.006944444,0,17.01
Alabama,11,5,2015,2,33.81000833,-86.35801667,Clear,16,0.002777778,0,16
Alabama,8,5,2015,6,32.36733056,-86.32124722,Clear,19,0.005277778,0,19.01
Alabama,11,4,2015,7,31.43940278,-86.500025,Cloudy,13,0.009722222,0,13.01
Alabama,3,5,2015,1,31.59647222,-86.00601389,Clear,2,0.008611111,1,2.01
Alabama,3,5,2015,1,34.62752778,-87.65018056,Clear,17,0.001944444,1,17
Alabama,9,5,2015,7,31.00788056,-85.81985278,Clear,19,0.008055556,0,19.01
Alabama,11,5,2015,2,31.21214722,-87.60316667,Clear,10,0.0075,0,10.01
Alabama,11,5,2015,2,33.55435,-85.409275,Clear,12,0.010555556,0,12.01
Alabama,10,5,2015,1,32.44434444,-85.03772222,Clear,0,0.006111111,1,0.01
Alabama,9,5,2015,7,32.15112222,-85.17539722,Clear,15,0.010277778,0,15.01
Alabama,7,5,2015,5,30.75416111,-88.27655556,Clear,6,0.015833333,0,6.02
Alabama,14,5,2015,5,34.51756111,-86.67522778,Clear,14,0.010833333,1,14.01
Alabama,14,5,2015,5,31.97318333,-87.58413889,Cloudy,22,0.006111111,0,22.01
Alabama,15,5,2015,6,30.74800833,-88.11728333,Rain,21,0.009166667,0,21.01
Alabama,15,5,2015,6,34.26544444,-85.65693611,Clear,NA,NA,0,NA
Alabama,18,5,2015,2,31.14548056,-85.38818333,Clear,2,0.001388889,0,2
Alabama,18,5,2015,2,31.44531111,-85.18464722,Clear,7,0.004444444,0,7
Alabama,18,5,2015,2,34.17649167,-85.78791667,Clear,15,0.006944444,0,15.01
Alabama,20,5,2015,4,33.60283333,-85.98659167,Clear,6,0.002222222,0,6
Alabama,20,5,2015,4,33.84518056,-86.050325,Clear,6,0.004166667,1,6
Alabama,20,5,2015,4,33.64144722,-86.27768056,Clear,17,0.0075,0,17.01
Alabama,20,5,2015,4,31.03754167,-85.92891389,Rain,20,0.001111111,1,20
Alabama,20,5,2015,4,30.64512778,-88.10200278,Clear,20,0.013333333,0,20.01
Alabama,21,5,2015,5,34.96056111,-87.57348611,Cloudy,14,0.001944444,0,14
Alabama,21,5,2015,5,33.16313333,-86.75501944,Cloudy,14,0.001944444,0,14
Alabama,22,5,2015,6,34.368425,-88.04374167,Clear,17,0.003611111,0,17
Alabama,22,5,2015,6,33.34723889,-86.24552222,Clear,20,0.000833333,0,20
Alabama,24,5,2015,1,33.23864722,-85.82023611,Clear,18,0.008333333,1,18.01
Alabama,24,5,2015,1,33.19059167,-87.38245,Cloudy,20,0.015277778,1,20.02
Alabama,25,5,2015,2,32.19991944,-87.38418889,Rain,12,0.005555556,0,12.01
Alabama,20,5,2015,4,32.46113056,-85.01983611,Clear,22,0.003333333,0,22
Alabama,27,5,2015,4,33.60566667,-85.84304444,Cloudy,5,0.010833333,0,5.01
Alabama,26,5,2015,3,31.03937778,-88.23173889,Clear,14,0.008333333,0,14.01
Alabama,25,5,2015,2,33.4932,-86.91936389,Cloudy,15,0.004166667,0,15
Alabama,27,5,2015,4,30.26576667,-87.64966944,Cloudy,9,0.003888889,0,9
Alabama,28,5,2015,5,34.86105556,-87.46359722,Clear,18,0.006944444,0,18.01
Alabama,29,5,2015,6,34.77149167,-86.65099167,Cloudy,20,0.006388889,1,20.01
Alabama,29,5,2015,6,34.10728056,-86.376,Clear,22,0.008611111,0,22.01
Alabama,31,5,2015,1,33.57411667,-86.71670833,Cloudy,18,0.015555556,1,18.02
Alabama,30,5,2015,7,34.84441667,-87.36358333,Clear,17,0.015555556,0,17.02
Alabama,31,5,2015,1,34.64768611,-87.27627778,Clear,19,0.003888889,0,19
Alabama,24,5,2015,1,32.66621944,-85.18344167,Clear,14,0.002222222,1,14
Alabama,24,5,2015,1,32.32995,-85.01913611,Clear,19,0.015833333,1,19.02
Alabama,3,6,2015,4,34.90246944,-87.75307778,Clear,17,0.009166667,0,17.01
Alabama,4,6,2015,5,34.72722222,-86.60376944,Cloudy,3,0.010277778,0,3.01
Alabama,11,6,2015,5,33.57900278,-86.45679167,Rain,13,0.009166667,0,13.01
Alabama,15,6,2015,2,30.84921944,-88.07545833,Clear,22,0,1,22
Alabama,16,6,2015,3,33.78513333,-86.39731667,Clear,10,0.000277778,0,10
Alabama,28,4,2015,3,30.39219722,-87.6757,Cloudy,20,0.003888889,0,20
Alabama,23,5,2015,7,30.48342778,-88.30996944,Clear,5,0.008888889,1,5.01
Alabama,28,5,2015,5,34.11820556,-86.81258056,Clear,13,0.000555556,0,13
Alabama,28,5,2015,5,32.56905556,-87.34451944,Cloudy,15,0.013888889,0,15.01
Alabama,30,5,2015,7,33.59051667,-86.24565556,Clear,14,0.011944444,0,14.01
Alabama,1,6,2015,2,31.57391111,-85.25958889,"Fog, smog, smoke",7,0.005833333,0,7.01
Alabama,30,5,2015,7,32.14609722,-85.68148333,Clear,20,0.001944444,0,20
Alabama,2,6,2015,3,34.37938889,-86.89854167,Clear,21,0.005555556,0,21.01
Alabama,3,6,2015,4,33.6878,-86.281575,Clear,16,0.010555556,0,16.01
Alabama,3,6,2015,4,33.28613056,-87.17944722,Clear,0,0.003333333,0,0
Alabama,5,6,2015,6,34.70028611,-87.64122778,Clear,3,0.008333333,0,3.01
Alabama,6,6,2015,7,34.88746944,-85.85918889,Clear,19,0.013333333,0,19.01
Alabama,8,6,2015,2,34.36677222,-86.15974167,Clear,0,0.008888889,0,0.01
Alabama,8,6,2015,2,32.37700278,-86.20938333,Unknown,5,0.008333333,0,5.01
Alabama,9,6,2015,3,33.39799444,-87.59131667,Cloudy,19,0.009722222,1,19.01
Alabama,10,6,2015,4,31.64230556,-85.92942222,Rain,12,0.015277778,0,12.02
Alabama,11,6,2015,5,31.27593056,-85.45453611,Cloudy,16,0.002222222,0,16
Alabama,12,6,2015,6,32.69388056,-86.25244167,Rain,19,0.004166667,1,19
Alabama,14,6,2015,1,32.32671111,-86.33138333,Clear,3,0.004166667,0,3
Alabama,12,6,2015,6,30.89518056,-88.11371944,Cloudy,1,0.008611111,1,1.01
